,symbol,operation,quantity,price,execution_date
741,SYK,buy,0.002911517635044074,349.01,2024-02-16 00:00:00
742,SYK,buy,0.0029133540806982198,348.79,2024-02-16 00:00:00
743,TSLA,buy,0.005140895539910324,197.659875,2024-02-16 00:00:00
744,ENPH,buy,0.007467975598925035,136.0675,2024-02-16 00:00:00
745,ENPH,buy,0.007485717851904174,135.745,2024-02-16 00:00:00
746,ENPH,buy,0.007485717851904174,135.745,2024-02-16 00:00:00
747,ENPH,buy,0.007485717851904174,135.745,2024-02-16 00:00:00
748,ENPH,buy,0.007485717851904174,135.745,2024-02-16 00:00:00
749,ENPH,buy,0.007485717851904174,135.745,2024-02-16 00:00:00
750,CRL,buy,0.004176697643991665,243.29000000000002,2024-02-16 00:00:00
751,TPR,buy,0.022471845634979566,45.21875,2024-02-16 00:00:00
752,LDOS,buy,0.008320052154886966,122.1325,2024-02-16 00:00:00
753,LDOS,buy,0.00832397108176721,122.075,2024-02-16 00:00:00
754,ABNB,buy,0.006530519086161518,155.6,2024-02-16 00:00:00
755,ABNB,buy,0.006619430459297324,153.51,2024-02-16 00:00:00
756,ABNB,buy,0.006619430459297324,153.51,2024-02-16 00:00:00
757,ABNB,buy,0.006619430459297324,153.51,2024-02-16 00:00:00
758,IDXX,buy,0.0017941984361448608,566.3525,2024-02-16 00:00:00
759,IDXX,buy,0.0018020816134901036,563.875,2024-02-16 00:00:00
760,WELL,buy,0.010854550764372506,93.61500000000001,2024-02-16 00:00:00
761,WELL,buy,0.010869063748066447,93.49000000000001,2024-02-16 00:00:00
762,ON,buy,0.012533827991078751,81.0725,2024-02-16 00:00:00
763,ON,buy,0.012604177248905137,80.62,2024-02-16 00:00:00
764,ES,buy,0.017356342546392504,58.54625,2024-02-16 00:00:00
765,ES,buy,0.0173782336962971,58.4725,2024-02-16 00:00:00
766,LUV,buy,0.029668577220634516,34.25,2024-02-16 00:00:00
767,LUV,buy,0.029703267167691675,34.21,2024-02-16 00:00:00
768,GM,buy,0.026033402159911158,39.0325,2024-02-16 00:00:00
769,GM,buy,0.02606177916919036,38.99,2024-02-16 00:00:00
770,NVDA,buy,0.0013934592014244282,729.2275,2024-02-16 00:00:00
771,NVDA,buy,0.0013985366646573428,726.58,2024-02-16 00:00:00
772,IQV,buy,0.0042136748970858255,241.155,2024-02-16 00:00:00
773,IQV,buy,0.004219186056330893,240.84,2024-02-16 00:00:00
774,IQV,buy,0.004219186056330893,240.84,2024-02-16 00:00:00
775,IQV,buy,0.004219186056330893,240.84,2024-02-16 00:00:00
776,EW,buy,0.01180984710819342,86.04249999999999,2024-02-16 00:00:00
777,EW,buy,0.01181019025809777,86.04,2024-02-16 00:00:00
778,CBRE,buy,0.01078041847368793,94.25874999999999,2024-02-16 00:00:00
779,CBRE,buy,0.010785138321508554,94.2175,2024-02-16 00:00:00
780,CBRE,buy,0.010785138321508554,94.2175,2024-02-16 00:00:00
781,CBRE,buy,0.010785138321508554,94.2175,2024-02-16 00:00:00
782,CBRE,buy,0.010785138321508554,94.2175,2024-02-16 00:00:00
783,CBRE,buy,0.010785138321508554,94.2175,2024-02-16 00:00:00
784,SURG,buy,0.11485216303078652,8.84745,2024-02-16 00:00:00
785,SURG,buy,0.11507913587845212,8.83,2024-02-16 00:00:00
786,SURG,buy,0.11507913587845212,8.83,2024-02-16 00:00:00
787,SURG,buy,0.11507913587845212,8.83,2024-02-16 00:00:00
788,SURG,buy,0.11507913587845212,8.83,2024-02-16 00:00:00
789,SURG,buy,0.11507913587845212,8.83,2024-02-16 00:00:00
790,FTV,buy,0.01203629037808356,84.42375000000001,2024-02-16 00:00:00
791,SYY,buy,0.012820044406960822,79.2625,2024-02-16 00:00:00
792,SYY,buy,0.012839077260809047,79.14500000000001,2024-02-16 00:00:00
793,NUE,buy,0.0054890614042416895,185.1225,2024-02-16 00:00:00
794,ABR,buy,0.07762786629539589,13.09,2024-02-16 00:00:00
795,ABR,buy,0.07780618451812651,13.059999999999999,2024-02-16 00:00:00
796,RL,buy,0.005643234676191742,180.06495,2024-02-16 00:00:00
797,VLTO,buy,0.01179750697828035,86.1325,2024-02-16 00:00:00
798,GEHC,buy,0.011922255860458838,85.23124999999999,2024-02-16 00:00:00
799,GEHC,buy,0.011978295698072463,84.8325,2024-02-16 00:00:00
800,HWM,buy,0.01603485444593143,63.37125,2024-02-16 00:00:00
801,HWM,buy,0.016060514774881178,63.27,2024-02-16 00:00:00
802,C,buy,0.018472493372540408,55.00875,2024-02-16 00:00:00
803,C,buy,0.018540323309888834,54.8075,2024-02-16 00:00:00
804,FSLR,buy,0.006343595029539171,160.185,2024-02-16 00:00:00
805,FSLR,buy,0.006359674363541947,159.78,2024-02-16 00:00:00
806,TRMB,buy,0.01695665538569045,59.926249999999996,2024-02-16 00:00:00
807,TRMB,buy,0.017020204678308816,59.7025,2024-02-16 00:00:00
808,TRMB,buy,0.017020204678308816,59.7025,2024-02-16 00:00:00
809,TRMB,buy,0.017020204678308816,59.7025,2024-02-16 00:00:00
810,TRMB,buy,0.017020204678308816,59.7025,2024-02-16 00:00:00
811,TRMB,buy,0.017020204678308816,59.7025,2024-02-16 00:00:00
812,UBER,buy,0.012586808327713646,80.73124999999999,2024-02-16 00:00:00
813,UBER,buy,0.01269035898475422,80.07249999999999,2024-02-16 00:00:00
814,UBER,buy,0.01269035898475422,80.07249999999999,2024-02-16 00:00:00
815,UBER,buy,0.01269035898475422,80.07249999999999,2024-02-16 00:00:00
816,UBER,buy,0.01269035898475422,80.07249999999999,2024-02-16 00:00:00
817,UBER,buy,0.01269035898475422,80.07249999999999,2024-02-16 00:00:00
818,EL,buy,0.006989924699449604,145.37335000000002,2024-02-16 00:00:00
819,EL,buy,0.006992490846454254,145.32,2024-02-16 00:00:00
820,COR,buy,0.004358207519838444,233.15750000000003,2024-02-16 00:00:00
821,COR,buy,0.004359656640667291,233.08,2024-02-16 00:00:00
822,WST,sell,0.002892545548553185,345.71625,2024-02-16 00:00:00
823,WST,sell,0.00285143997718848,350.7,2024-02-16 00:00:00
824,WST,sell,0.00285143997718848,350.7,2024-02-16 00:00:00
825,WST,sell,0.0020755681438520517,350.7,2024-02-16 00:00:00
826,MSCI,buy,0.0017666238169077868,575.1925,2024-02-16 00:00:00
827,MSCI,buy,0.0017682454470112714,574.665,2024-02-16 00:00:00
828,ZBRA,buy,0.0035787131894898867,283.9425,2024-02-16 00:00:00
829,ZBRA,buy,0.003581141038966457,283.75,2024-02-16 00:00:00
830,ZBRA,buy,0.003581141038966457,283.75,2024-02-16 00:00:00
831,ZBRA,buy,0.003581141038966457,283.75,2024-02-16 00:00:00
832,ZBRA,buy,0.003581141038966457,283.75,2024-02-16 00:00:00
833,ZBRA,buy,0.003581141038966457,283.75,2024-02-16 00:00:00
